Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;8420;Conductores de autobuses y tranvías;8412;Conductores asalariados de automóviles, taxis y furgonetas;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-20;Hombre;Vicálvaro;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Otro Municipio;Menor de 25 años;Española;9602;Peones de la construcción de edificios;9310;Ayudantes de cocina;5120;Camareros asalariados
ene-20;Mujer;Ciudad Lineal;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-20;Hombre;Arganzuela;Entre 46 y 55 años;Española;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados
ene-20;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
ene-20;Mujer;Villaverde;Menor de 25 años;Extracomunitaria;5722;Cuidadores de niños en domicilios;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Hortaleza;Menor de 25 años;Española;;;;;;
ene-20;Hombre;Latina;Entre 46 y 55 años;Española;9431;Ordenanzas;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;4424;Teleoperadores
ene-20;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores
ene-20;Mujer;Moratalaz;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;4122;Empleados de oficina de servicios de apoyo a la producción
ene-20;Mujer;Vicálvaro;Entre 26 y 35 años;Comunitaria;2463;Ingenieros técnicos mecánicos;;;;
ene-20;Mujer;Centro;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;3325;Ayudantes fisioterapeutas;4424;Teleoperadores
ene-20;Hombre;Carabanchel;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;5629;Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes;7191;Mantenedores de edificios
ene-20;Hombre;San Blas;Entre 26 y 35 años;Española;2611;Especialistas en contabilidad;3613;Asistentes de dirección y administrativos;4123;Empleados de logística y transporte de pasajeros y mercancías
ene-20;Hombre;Retiro;Entre 56 y 65 años;Extracomunitaria;8331;Operadores de maquinaria de movimientos de tierras y equipos similares;;;;
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;9431;Ordenanzas;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;;
ene-20;Mujer;Villaverde;Entre 56 y 65 años;Extracomunitaria;3510;Agentes y representantes comerciales;;;;
ene-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;2824;Profesionales del trabajo y la educación social;3714;Promotores de igualdad de oportunidades entre mujeres y hombres;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías
ene-20;Hombre;San Blas;Menor de 25 años;Española;3126;Técnicos en mecánica;7401;Mecánicos y ajustadores de vehículos de motor;;
ene-20;Mujer;Otro Municipio;Entre 36 y 45 años;Española;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;;
ene-20;Mujer;Ciudad Lineal;Menor de 25 años;Española;5500;Cajeros y taquilleros (excepto bancos);5710;Trabajadores de los cuidados personales a domicilio;9320;Preparadores de comidas rápidas
ene-20;Hombre;Latina;Entre 46 y 55 años;Española;9443;Barrenderos y afines;9811;Peones del transporte de mercancías y descargadores;;
ene-20;Hombre;Moncloa-aravaca;Entre 26 y 35 años;Extracomunitaria;5629;Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);9320;Preparadores de comidas rápidas
ene-20;Mujer;Salamanca;Entre 56 y 65 años;Española;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;9811;Peones del transporte de mercancías y descargadores;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías
ene-20;Mujer;Carabanchel;Menor de 25 años;Española;2252;Técnicos en educación infantil;3724;Monitores de actividades recreativas y de entretenimiento;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Vicálvaro;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;;
ene-20;Mujer;Otro Municipio;Entre 46 y 55 años;Española;5812;Especialistas en tratamientos de estética, bienestar y afines;5492;Promotores de venta;9100;Empleados domésticos
ene-20;Mujer;Fuencarral-el Pardo;Menor de 25 años;Española;1223;Directores de investigación y desarrollo;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional);;
ene-20;Mujer;Vicálvaro;Entre 36 y 45 años;Comunitaria;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Mujer;Salamanca;Entre 56 y 65 años;Extracomunitaria;5120;Camareros asalariados;5420;Operadores de telemarketing;3510;Agentes y representantes comerciales
ene-20;Mujer;Barajas;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;3202;Supervisores de la construcción;2462;Ingenieros técnicos de obras públicas
ene-20;Hombre;Puente De Vallecas;Menor de 25 años;Española;3124;Técnicos en electrónica (excepto electromedicina);;;;
ene-20;Mujer;Tetuán;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Usera;Entre 56 y 65 años;Extracomunitaria;5833;Conserjes de edificios;5710;Trabajadores de los cuidados personales a domicilio;9602;Peones de la construcción de edificios
ene-20;Mujer;Vicálvaro;Entre 46 y 55 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;4424;Teleoperadores;9431;Ordenanzas
ene-20;Hombre;Villaverde;Entre 46 y 55 años;Española;3124;Técnicos en electrónica (excepto electromedicina);5220;Vendedores en tiendas y almacenes;7323;Ajustadores y operadores de máquinas-herramienta
ene-20;Mujer;Latina;Entre 26 y 35 años;Comunitaria;9229;Otro personal de limpieza;5220;Vendedores en tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Hombre;San Blas;Entre 26 y 35 años;Extracomunitaria;2652;Profesionales de relaciones públicas;3532;Organizadores de conferencias y eventos;;
ene-20;Hombre;Chamberí;Entre 46 y 55 años;Española;5823;Acompañantes turísticos;9310;Ayudantes de cocina;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Hombre;Carabanchel;Mayor de 65 años;Extracomunitaria;5833;Conserjes de edificios;9229;Otro personal de limpieza;9811;Peones del transporte de mercancías y descargadores
ene-20;Mujer;Villa De Vallecas;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles)
ene-20;Mujer;Moratalaz;Menor de 25 años;Española;9820;Reponedores;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3613;Asistentes de dirección y administrativos
ene-20;Hombre;Puente De Vallecas;Menor de 25 años;Comunitaria;3124;Técnicos en electrónica (excepto electromedicina);;;;
ene-20;Mujer;Otro Municipio;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2484;Diseñadores gráficos y multimedia
ene-20;Mujer;Fuencarral-el Pardo;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;;;;
ene-20;Mujer;Villaverde;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Fuencarral-el Pardo;Entre 26 y 35 años;Española;5611;Auxiliares de enfermería hospitalaria;;;;
ene-20;Mujer;Villaverde;Entre 46 y 55 años;Española;5611;Auxiliares de enfermería hospitalaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-20;Mujer;Fuencarral-el Pardo;Menor de 25 años;Española;5611;Auxiliares de enfermería hospitalaria;5811;Peluqueros;;
ene-20;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;4424;Teleoperadores
ene-20;Hombre;Hortaleza;Entre 46 y 55 años;Extracomunitaria;3129;Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías;3613;Asistentes de dirección y administrativos;3121;Técnicos en ciencias físicas y químicas
ene-20;Mujer;Carabanchel;Menor de 25 años;Extracomunitaria;4424;Teleoperadores;;;;
ene-20;Hombre;Arganzuela;Entre 26 y 35 años;Española;7199;Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes;9811;Peones del transporte de mercancías y descargadores;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Hombre;Puente De Vallecas;Entre 56 y 65 años;Española;9443;Barrenderos y afines;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;;
ene-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;7510;Electricistas de la construcción y afines;;;;
ene-20;Hombre;Otro Municipio;Entre 36 y 45 años;Española;7510;Electricistas de la construcción y afines;7250;Mecánicos-instaladores de refrigeración y climatización;;
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Comunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores;8170;Operadores de máquinas de lavandería y tintorería
