Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-18;Hombre;Usera;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;9820;Reponedores;;
ene-18;Mujer;Villaverde;Entre 26 y 35 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
ene-18;Mujer;Barajas;Entre 36 y 45 años;Extracomunitaria;;;;;;
ene-18;Mujer;Fuencarral-el Pardo;Entre 46 y 55 años;Española;3321;Técnicos superiores en higiene bucodental;;;;
ene-18;Hombre;Usera;Entre 46 y 55 años;Española;2722;Administradores de sistemas y redes;3811;Técnicos en operaciones de sistemas informáticos;;
ene-18;Mujer;Carabanchel;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
ene-18;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio
ene-18;Mujer;Villa De Vallecas;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Hombre;Vicálvaro;Entre 36 y 45 años;Española;7132;Instaladores de cerramientos metálicos y carpinteros metálicos (excepto montadores de estructuras metálicas);8209;Montadores y ensambladores no clasificados en otros epígrafes;5833;Conserjes de edificios
ene-18;Mujer;Villaverde;Entre 26 y 35 años;Española;5120;Camareros asalariados;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
ene-18;Hombre;Puente De Vallecas;Entre 46 y 55 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9602;Peones de la construcción de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Mujer;Moratalaz;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-18;Mujer;Chamberí;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles)
ene-18;Mujer;Carabanchel;Entre 46 y 55 años;Española;2252;Técnicos en educación infantil;5500;Cajeros y taquilleros (excepto bancos);5611;Auxiliares de enfermería hospitalaria
ene-18;Mujer;Tetuán;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;;;;
ene-18;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios;9100;Empleados domésticos
ene-18;Mujer;Tetuán;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9229;Otro personal de limpieza
ene-18;Mujer;Usera;Entre 56 y 65 años;Española;5721;Cuidadores de niños en guarderías y centros educativos;;;;
ene-18;Mujer;Villaverde;Entre 56 y 65 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
ene-18;Hombre;Centro;Entre 36 y 45 años;Comunitaria;2482;Diseñadores de productos y de prendas;;;;
ene-18;Mujer;Tetuán;Entre 46 y 55 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-18;Mujer;Latina;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-18;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;7121;Albañiles;7199;Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-18;Hombre;Hortaleza;Entre 26 y 35 años;Española;7533;Instaladores y reparadores en tecnologías de la información y las comunicaciones;9441;Recogedores de residuos;7401;Mecánicos y ajustadores de vehículos de motor
ene-18;Mujer;Villa De Vallecas;Entre 46 y 55 años;Española;5721;Cuidadores de niños en guarderías y centros educativos;8193;Operadores de máquinas de embalaje, embotellamiento y etiquetado;4424;Teleoperadores
ene-18;Mujer;Otro Municipio;Entre 46 y 55 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
ene-18;Mujer;San Blas;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio
ene-18;Hombre;Latina;Entre 36 y 45 años;Española;9229;Otro personal de limpieza;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;3613;Asistentes de dirección y administrativos
ene-18;Mujer;Tetuán;Menor de 25 años;Española;5120;Camareros asalariados;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-18;Hombre;Carabanchel;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados;;
ene-18;Hombre;Vicálvaro;Menor de 25 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-18;Mujer;Arganzuela;Entre 46 y 55 años;Española;5831;Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos;5611;Auxiliares de enfermería hospitalaria;4422;Recepcionistas de hoteles
ene-18;Mujer;Tetuán;Entre 46 y 55 años;Española;2599;Profesionales del derecho no clasificados bajo otros epígrafes;2484;Diseñadores gráficos y multimedia;2810;Economistas
ene-18;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;7820;Ebanistas y trabajadores afines;9811;Peones del transporte de mercancías y descargadores;5120;Camareros asalariados
ene-18;Hombre;Vicálvaro;Entre 46 y 55 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
ene-18;Hombre;Latina;Entre 46 y 55 años;Española;2462;Ingenieros técnicos de obras públicas;3613;Asistentes de dirección y administrativos;3510;Agentes y representantes comerciales
ene-18;Mujer;Vicálvaro;Menor de 25 años;Española;5811;Peluqueros;5812;Especialistas en tratamientos de estética, bienestar y afines;5220;Vendedores en tiendas y almacenes
ene-18;Mujer;Otro Municipio;Entre 46 y 55 años;Comunitaria;9700;Peones de las industrias manufactureras;;;;
ene-18;Mujer;Otro Municipio;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles)
ene-18;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;4424;Teleoperadores;5500;Cajeros y taquilleros (excepto bancos)
ene-18;Hombre;Villaverde;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores
ene-18;Hombre;Villa De Vallecas;Entre 46 y 55 años;Española;7323;Ajustadores y operadores de máquinas-herramienta;7191;Mantenedores de edificios;7510;Electricistas de la construcción y afines
ene-18;Mujer;Arganzuela;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio
ene-18;Hombre;Carabanchel;Entre 46 y 55 años;Española;2653;Profesionales de la venta de tecnologías de la información y las comunicaciones;3812;Técnicos en asistencia al usuario de tecnologías de la información;3124;Técnicos en electrónica (excepto electromedicina)
ene-18;Hombre;Otro Municipio;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;5833;Conserjes de edificios;7232;Pintores en las industrias manufactureras
ene-18;Hombre;Puente De Vallecas;Menor de 25 años;Española;;;;;;
ene-18;Mujer;Barajas;Entre 36 y 45 años;Extracomunitaria;5110;Cocineros asalariados;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;7703;Panaderos, pasteleros y confiteros
ene-18;Mujer;Hortaleza;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;5220;Vendedores en tiendas y almacenes;3613;Asistentes de dirección y administrativos
ene-18;Hombre;Latina;Menor de 25 años;Española;8133;Operadores de laboratorios fotográficos y afines;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5833;Conserjes de edificios
ene-18;Mujer;Moncloa-aravaca;Entre 46 y 55 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
